Type,Component,Count,Author,Third Party,Tests
plugins,.idea,4,,1,
plugins,akismet,85,Automattic,1,
plugins,backwpup,16,Inpsyde GmbH,1,
plugins,bbpress,7,The bbPress Community,1,
plugins,bowe-codes,1,imath,1,
plugins,buddypress,6,,1,
plugins,cookie-cat,46,bobbingwide,,1
plugins,debug-bar,5,wordpressdotorg,1,
plugins,developer,1,Automattic,1,
plugins,distributor,2,Taylor Lovett 10up,1,1
plugins,drafts-for-friends,3,bobbingwide,1,
plugins,easy-digital-downloads,10,Pippin Williamson and Company,,1
plugins,easy-fancybox,1,RavanH,1,
plugins,easy-pricing-tables,1,,1,
plugins,fancy-box,1,,1,
plugins,fancybox-for-wordpress,1,,1,
plugins,feedwordpress,1,Charles Johnson,1,
plugins,genesis-beta-tester,1,Nathan Rice,1,
plugins,genesis-variable-footer-widgets,1,,1,
plugins,github-release-downloads,1,Ivan Ridao Freitas,1,
plugins,log-deprecated-notices,2,Andrew Nacin,1,
plugins,membership,6,Barry (Incsub) Cole (Incsub),1,
plugins,oik,87,bobbingwide,,1
plugins,oik-batch,31,bobbingwide,,1
plugins,oik-batchmove,19,bobbingwide,,
plugins,oik-bob-bing-wide,42,bobbingwide,,1
plugins,oik-bob-bing-wide-1.21,1,,1,
plugins,oik-bp-signup-email,5,bobbingwide,1,
plugins,oik-bwtrace,63,bobbingwide,,1
plugins,oik-clone,21,bobbingwide,,
plugins,oik-debug-filters,14,bobbingwide,1,
plugins,oik-email-signature,17,bobbingwide,1,
plugins,oik-fields,54,bobbingwide,,
plugins,oik-fields-1.36,1,,1,
plugins,oik-nivo-slider,42,bobbingwide,,
plugins,oik-plugins,17,bobbingwide,,
plugins,oik-privacy-policy,53,bobbingwide,,
plugins,oik-sc-help,20,bobbingwide,,1
plugins,oik-sc-help-1.9,1,,1,
plugins,oik-shortcodes,17,bobbingwide,,
plugins,oik-sites,6,bobbingwide,,
plugins,oik-types,37,bobbingwide,,
plugins,popdom-themes-backup,1,,1,
