Shortcode,Desc,#parameters,Component
OIK,Spells out the OIK Information Kit backronym,0,oik
api,Simple API link,1,oik-shortcodes
apis,Link to API definitions,3,oik-shortcodes
artisteer,Styled form of Artisteer,0,oik-bob-bing-wide
audio,Displays uploaded audio file as an audio player,4,oik-sc-help
bp,Styled form of BuddyPress,0,oik-bob-bing-wide
bw,Expand to the logo for Bobbing Wide,1,oik
bw_abbr,Format an abbreviation,0,oik
bw_accordion,Display posts in an accordion,17,oik
bw_acronym,Format an acronym,0,oik
bw_action,bw_shortcode_event,0,oik-bob-bing-wide
bw_address,Display the address,3,oik
bw_admin,Display the Admin contact name,0,oik
bw_alt_slogan,Alternative slogan,0,oik
bw_api,Dynamic API syntax help,3,oik-shortcodes
bw_attachments,List attachments with links,20,oik
bw_autop,Dynamically re-enable/disable automatic paragraph generation,1,oik-css
bw_background,Use attached image as the background,5,oik-css
bw_block,Format an Artisteer block,5,oik
bw_blockquote,Format a blockquote,2,oik
bw_blog,Select blog to process,1,oik-ms
bw_blogs,List blogs or display content for selected blogs,1,oik-ms
bw_bookmarks,List bookmarks,4,oik
bw_business,Display your Business name,0,oik
bw_button,Show a link as a button,4,oik
bw_cite,Cite a blockquote,2,oik
bw_code,Display the help and syntax for a shortcode,6,oik
bw_codes,Display the currently available shortcodes,1,oik
bw_company,Company name,0,oik
bw_contact,Primary contact name,1,oik
bw_contact_button,Contact form button,5,oik
bw_contact_form,Display a contact form for the specific user,5,oik
bw_copyright,Format a Copyright statement,5,core
bw_count,Count posts for the selected post type,2,oik
bw_countdown,Countdown timer,5,oik
bw_crumbs,Display breadcrumbs,0,oik-bob-bing-wide
bw_css,Add internal CSS styling,2,oik-css
bw_csv,Display CSV data in a table or list,6,oik-bob-bing-wide
bw_cycle,Display pages using jQuery cycle,23,oik
bw_dash,Display a dash icon,2,oik-cons
bw_directions,Display a 'Google directions' button.,1,oik
bw_domain,Display the domain name,0,oik
bw_eblock,end a [bw_block],0,oik
bw_editcss,Edit Custom CSS file button,0,oik
bw_email,Email primary contact (formal),6,oik
bw_email_signature,Format the email signature,0,core
bw_emergency,Emergency telephone number,8,oik
bw_facebook,Facebook link,0,oik
bw_fax,Fax number,8,oik
bw_field,Format custom fields without labels,3,oik-fields
bw_fields,Format custom fields with labels,2,oik-fields
bw_flickr,Flickr link,0,oik
bw_follow_me,Display defined social media follow me links,3,oik
bw_formal,Formal company name,0,oik
bw_geo,Latitude and Longitude,1,oik
bw_geshi,Generic Syntax Highlighting,2,oik-css
bw_google,Google+ link,0,oik
bw_google-plus,Google+ link,0,oik
bw_google_plus,Google+ link,0,oik
bw_googleplus,Google+ link,0,oik
bw_graphviz,Display a GraphViz diagram,2,oik-bob-bing-wide
bw_group,Display summary of selected items,2,oik-fields
bw_iframe,Embed a page in an iframe,9,oik
bw_images,Display attached images,20,oik
bw_instagram,Follow me on Instagram,0,oik
bw_jq,Perform a jQuery method,8,oik
bw_link,Display a link to a post.,5,oik
bw_linkedin,Follow me on LinkedIn,0,oik
bw_list,Simple list of pages/posts or custom post types,19,oik
bw_login,Display the login form or protected content,2,oik
bw_loginout,Display the Login or Logout link,0,oik
bw_logo,Display the company logo,4,oik
bw_mailto,Mailto (inline),6,oik
bw_mob,Mobile phone number (inline),8,oik
