WordPress version,Site,#plugins,#themes
"3.5",eoci,5,4
"3.6.1",bwdevel,9,2
"4.0",oik-plugins.uk,2,3
"4.0",oobit,38,7
"4.1.1",classic,10,8
"4.1.4",wholebeingwellbeing,16,9
"4.2.10",survive,21,8
"4.2.2",balancingbyart,16,10
"4.2.2",pretty,13,7
"4.3.1",handmadestudios,38,10
"4.3.6",hampshire-eft,49,17
"4.4",rcwdcom,66,36
"4.4.2",coaching2inspire,14,9
"4.4.2",wp-a2z-v4.4.2,27,6
"4.4.7",wporg,64,13
"4.6.3",solentro,9,5
"4.7",phpunit,8,1
"4.7",wpml,15,0
"4.7.3",bwdesign,84,34
"4.7.3",cookie-cat,26,6
"4.7.3",oikcom-renamed,0,0
"4.7.3",oikplug,94,23
"4.7.3",susancowemiller,33,10
"4.7.4",wpit,28,9
"4.7.8",bwcom,48,13
"4.7.8",rngs,24,11
"4.8",achoired-taste,0,3
"4.8",bigram,21,2
"4.8",broad-builders,12,2
"4.8",hallsgs,41,20
"4.8",officialcaravan,54,8
"4.8.1",lalucouk,24,2
"4.8.1",wp-a2z,35,13
"4.8.2",oikeu,71,17
"4.8.2",owcs,22,1
"4.9",owzs,2,2
"4.9",owzs-pro,6,2
"4.9.1",gdwifa,8,4
"4.9.1",oikcom,94,23
"4.9.1",oikcouk,76,12
"4.9.1",tags,18,5
"4.9.1",wpms,108,40
"4.9.2",aldworth,24,8
"4.9.4",.,64,24
"4.9.4",cwiccer,45,3
"4.9.4",hm,57,17
"4.9.4",wordpress,229,108
"4.9.4",wp-pompey,28,6
"5.0-alpha-42125-src",src,52,14
"5.0-alpha-42125-src",wp50,44,13
